#m	v
0	-0.0111597479396
1	51.1012085199
2	100.943925235
3	150.055774034
4	198.679709457
5	245.923041692
6	291.513147852
7	335.039319868
8	376.696808744
9	416.995707791
10	454.840952854
11	490.518831643
12	524.697496314
13	556.85322116
14	586.610539089
15	613.820806427
16	639.116257927
17	662.434327937
18	684.02604162
19	704.207146568
20	723.379974044
21	741.921166134
22	759.651066803
23	774.812883467
24	609.313402508
25	-16.7841371083
26	-48.0276757563
27	-39.313653575
28	-35.9035202547
29	-39.0468521424
30	-45.9575218835
31	-54.9215733013
32	-64.7346247283
33	-74.8373272606
34	-84.9597630974
35	-95.2645527299
36	-105.277931545
37	-113.804286695
38	-118.558496545
39	-116.269059967
